PCA1,PCA2,Cluster,idx,smiles
-0.35757041823024993,-1.5827712353460168,2,136,FCC1(CF)O[P-](F)(F)(=O)OC1(CF)CF
-0.13144856193657448,-0.3462773228074817,2,137,CC1(C)O[P-](F)(F)(F)(C(F)(F)F)OC1(C)C
1.0424174588337227,1.0225502079085522,1,138,N#CC1(C#N)O[P-](F)(F)(F)(C#N)OC1(C#N)C#N
-0.8273460941171337,-0.5155708539402252,0,139,CCOP(=O)([O-])OC(C(F)(F)F)C(F)(F)F
0.5895846618511084,-0.4636643707014359,2,140,CC1(C)O[P-](F)(F)(N(=O)=O)(N(=O)=O)OC1(C)C
0.4366507334057567,0.651974289354141,1,141,N#CC1(C#N)O[P-](F)(F)(F)(O(C))OC1(C#N)C#N
0.1812434387818309,-0.8301699174135958,2,142,CC1(C)O[P-](CF)(CF)(CF)(CF)OC1(C)C
0.33199808258372654,-0.10347881972108011,2,143,FCC1(CF)O[P-](C)(C)(C)(C)OC1(CF)CF
0.7476772522296975,0.6037300569311767,1,144,N#CC1(C#N)O[P-](F)(F)(F)(CF)OC1(C#N)C#N
1.4418017379528094,1.0145063276289892,4,145,N#CC1(C#N)O[P-](F)(F)(C#N)(C#N)OC1(C#N)C#N
-0.23563973390164322,-1.0959389120692242,2,146,CC1(C)O[P-](F)(F)(O(CF))(O(CF))OC1(C)C
-0.5123132393497073,-1.7168409596797962,2,147,FCC1(CF)O[P-](F)(C)(C)(C)OC1(CF)CF
-0.10333856062789955,-0.6845964423262325,2,148,FCC1(CF)O[P-](F)(F)(C)(C)OC1(CF)CF
-0.025250358265846512,-0.18223872062417665,2,149,CC1(C)O[P-](F)(F)(C(F)F)(C(F)F)OC1(C)C
1.7557072588661653,0.7763984682004386,4,150,N#CC1(C#N)O[P-](F)(C#N)(C#N)(C#N)OC1(C#N)C#N
-0.0019497895952535762,-0.3558324954346391,2,151,CC1(C)O[P-](F)(F)(F)(O(C(F)(F)F))OC1(C)C
-0.08984092415811619,-0.6105321713945591,2,152,FCC1(CF)O[P-](F)(F)(F)(C)OC1(CF)CF
0.5022835103173355,0.6587548198552093,1,153,N#CC1(C#N)O[P-](F)(F)(O(C))(O(C))OC1(C#N)C#N
