smiles,ESPmin,ESPmax,dipole_moment,polarizability,idx,Cluster,PCA1,PCA2
O=[P-](=O)(O(C(F)(F)F))O(C(F)(F)F),-126.04113,-58.81697,6.076559,63.2216,100,3,-1.6649957566424136,0.7495659982825096
C(F)O[P-](F)(F)(F)(O(CF))O(CF),-130.60589,-38.70201,4.754579,81.401667,101,0,-0.9789334715764466,0.09857478363965343
CC1(C)O[P-](F)(F)(F)(O(C))OC1(C)C,-145.29898,-34.40773,7.176172,145.529,102,2,-0.49241864596457346,-0.7921858109596264
CC1(C)O[P-](F)(F)(F)(CF)OC1(C)C,-147.66605,-29.1783,11.988072,142.582,103,2,-0.41745925050523963,-0.991694336407977
CC1(C)O[P-](F)(F)(C#N)(C#N)OC1(C)C,-114.40489,-21.55017,14.714931,160.506,104,1,0.6747350154071255,0.23812636798400355
CCCCCCCCCCOP(=O)([O-])F,-147.64705,-16.1049,26.127731,188.203667,105,2,0.4385303065781573,-1.3767700560073675
FC(F)[P-](F)(F)(F)(C(F)F)C(F)F,-126.28429,-47.54702,4.082957,71.691667,106,0,-1.2508121218068888,0.48904432723386254
O=[P-](O(CF))(O(CF))(O(CF))O(CF),-132.8093,-39.83261,2.987476,106.846333,107,0,-0.7949028413720681,-0.04157248504999438
CC1(C)O[P-](F)(C#N)(C#N)(C#N)OC1(C)C,-109.65176,-18.52457,15.214084,180.291,108,1,1.065507738821235,0.32871466221036477
FC(F)(F)[P-](F)(F)(F)(F)C(F)(F)F,-113.98335,-74.94273,2.551966,53.9541,109,3,-1.9878637646512438,1.618745700678623
N#CC1(C#N)O[P-](F)(F)(=O)OC1(C#N)C#N,-122.93203,-15.24613,4.249898,128.23,110,1,0.35227600412741344,-0.16970802572343133
COCCOCCOCCOP(=O)([O-])F,-145.74484,-7.08064,28.203561,151.234,111,2,0.3617858593908028,-1.3779976523130015
CCC(C)(C)c1ccc(OP(=O)([O-])F)cc1,-146.23848,-20.24317,20.414478,202.360333,112,2,0.49168278460053166,-1.2705422265728192
CC1(C)O[P-](F)(F)(O(C))(O(C))OC1(C)C,-149.11589,-36.90152,5.547826,167.879,113,2,-0.4135675190436911,-0.9659974245431874
CC1(C)O[P-](F)(F)(F)(N(=O)=O)OC1(C)C,-139.10729,-24.49584,11.464165,144.563667,114,2,-0.0834950170282648,-0.7230652938788871
O=[P-](C(F)F)(C(F)F)(C(F)F)C(F)F,-146.77314,-44.96473,5.280324,95.251333,115,0,-1.3522351935959205,-0.5080533529317179
