smiles,is_valid,anion_MW,charge,atom_number
N#CC1(C#N)O[P-](F)(CF)(CF)(CF)OC1(C#N)C#N,True,309.14,-1,26
CC1(C)O[P-](F)(O(CF))(O(CF))(O(CF))OC1(C)C,True,313.2,-1,37
O=[P-](O(C(F)F))(O(C(F)F))(O(C(F)F))O(C(F)F),True,315.03,-1,22
N#CC1(C#N)O[P-](F)(F)(F)(O(C(F)F))OC1(C#N)C#N,True,315.07,-1,21
N#CC1(C#N)O[P-](O(C))(O(C))(O(C))(O(C))OC1(C#N)C#N,True,315.2,-1,33
CC1(C)O[P-]2(F)(CF)(OC1(C)C)OC(C)(C)C(C)(C)O2,True,315.32,-1,46
CC1(C)O[P-]2(C#N)(C#N)(OC1(C)C)OC(C)(C)C(C)(C)O2,True,315.33,-1,45
FCC1(CF)O[P-](F)(C#N)(C#N)(C#N)OC1(CF)CF,True,316.15,-1,28
N#CC1(C#N)O[P-](F)(F)(F)(C(F)(F)F)OC1(C#N)C#N,True,317.06,-1,20
CC1(C)O[P-](F)(F)(O(C(F)F))(O(C(F)F))OC1(C)C,True,319.16,-1,33
FCC1(CF)O[P-](F)(F)(O(C))(O(C))OC1(CF)CF,True,319.16,-1,33
CC1(C)O[P-](F)(C(F)F)(C(F)F)(C(F)F)OC1(C)C,True,319.18,-1,34
O=[P-](O(C(F)(F)F))(O(C(F)(F)F))(O(C(F)(F)F))F,True,320.98,-1,18
N#CC1(C#N)O[P-](F)(F)(N(=O)=O)(N(=O)=O)OC1(C#N)C#N,True,321.07,-1,21
FCC1(CF)O[P-](F)(F)(F)(N(=O)=O)OC1(CF)CF,True,322.09,-1,27
O=[P-](C(F)(F)F)(C(F)(F)F)(C(F)(F)F)C(F)(F)F,True,322.99,-1,18
FC(F)C1(C(F)F)O[P-](=O)(=O)OC1(C(F)F)C(F)F,True,323.05,-1,23
FCC1(CF)O[P-](F)(F)(CF)(CF)OC1(CF)CF,True,323.14,-1,31
CC1(C)O[P-](F)(F)(C(F)(F)F)(C(F)(F)F)OC1(C)C,True,323.14,-1,31
N#CC1(C#N)O[P-](CF)(CF)(CF)(CF)OC1(C#N)C#N,True,323.17,-1,29
FCC1(CF)O[P-](C#N)(C#N)(C#N)(C#N)OC1(CF)CF,True,323.17,-1,29
O=P([O-])(OCC(F)(F)C(F)F)OCC(F)(F)C(F)F,True,325.07,-1,25
FCC1(CF)O[P-](F)(F)(F)(O(CF))OC1(CF)CF,True,325.11,-1,29
C(F)O[P-](O(CF))(O(CF))(O(CF))(O(CF))O(CF),True,325.12,-1,31
N#CC1(C#N)O[P-](F)(F)(O(CF))(O(CF))OC1(C#N)C#N,True,327.11,-1,25
CC1(C)O[P-]2(F)(N(=O)=O)(OC1(C)C)OC(C)(C)C(C)(C)O2,True,328.3,-1,45
CC1(C)O[P-]2(CF)(CF)(OC1(C)C)OC(C)(C)C(C)(C)O2,True,329.34,-1,49
N#CC1(C#N)O[P-](F)(F)(C(F)F)(C(F)F)OC1(C#N)C#N,True,331.09,-1,23
FCC1(CF)O[P-](F)(O(C))(O(C))(O(C))OC1(CF)CF,True,331.19,-1,37
CC1(C)O[P-]2(F)(O(CF))(OC1(C)C)OC(C)(C)C(C)(C)O2,True,331.32,-1,47
O=P([O-])(OC(F)(F)C(F)(F)F)OC(F)(F)C(F)(F)F,True,332.99,-1,19
N#CC1(C#N)O[P-](F)(F)(F)(O(C(F)(F)F))OC1(C#N)C#N,True,333.06,-1,21
CC1(C)O[P-]2(F)(C(F)F)(OC1(C)C)OC(C)(C)C(C)(C)O2,True,333.31,-1,46
FC(F)[P-](C(F)F)(C(F)F)(C(F)F)(C(F)F)C(F)F,True,337.06,-1,25
FCC1(CF)O[P-](F)(CF)(CF)(CF)OC1(CF)CF,True,337.17,-1,34
FCC1(CF)O[P-](O(C))(O(C))(O(C))(O(C))OC1(CF)CF,True,343.23,-1,41
FC(F)(F)[P-](F)(F)(C(F)(F)F)(C(F)(F)F)C(F)(F)F,True,344.99,-1,19
FC(F)C1(C(F)F)O[P-](F)(F)(=O)OC1(C(F)F)C(F)F,True,345.05,-1,24
N#CC1(C#N)O[P-](F)(N(=O)=O)(N(=O)=O)(N(=O)=O)OC1(C#N)C#N,True,348.08,-1,23
FCC1(CF)O[P-](F)(F)(N(=O)=O)(N(=O)=O)OC1(CF)CF,True,349.1,-1,29
CC1(C)O[P-]2(F)(O(C(F)F))(OC1(C)C)OC(C)(C)C(C)(C)O2,True,349.31,-1,47
FC(F)C1(C(F)F)O[P-](C)(C)(C)(C)OC1(C(F)F)C(F)F,True,351.19,-1,37
FCC1(CF)O[P-](CF)(CF)(CF)(CF)OC1(CF)CF,True,351.19,-1,37
CC1(C)O[P-](C(F)F)(C(F)F)(C(F)F)(C(F)F)OC1(C)C,True,351.19,-1,37
CC1(C)O[P-]2(F)(C(F)(F)F)(OC1(C)C)OC(C)(C)C(C)(C)O2,True,351.3,-1,46
CC1(C)O[P-](F)(F)(O(C(F)(F)F))(O(C(F)(F)F))OC1(C)C,True,355.14,-1,33
FCC1(CF)O[P-](F)(F)(O(CF))(O(CF))OC1(CF)CF,True,355.14,-1,33
FC(F)C1(C(F)F)O[P-](F)(C)(C)(C)OC1(C(F)F)C(F)F,True,355.16,-1,34
