smiles,idx
CC1(C)O[P-](O(C(F)F))(O(C(F)F))(O(C(F)F))(O(C(F)F))OC1(C)C,266
CC1(C)O[P-](F)(O(C(F)F))(O(C(F)F))(O(C(F)F))OC1(C)C,267
CC1(C)O[P-](F)(F)(O(C(F)F))(O(C(F)F))OC1(C)C,268
CC1(C)O[P-](F)(F)(F)(O(C(F)F))OC1(C)C,269
CC1(C)O[P-]2(C(F)F)(C(F)F)(OC1(C)C)OC(C)(C)C(C)(C)O2,270
CC1(C)O[P-]2(F)(C(F)F)(OC1(C)C)OC(C)(C)C(C)(C)O2,271
CC1(C)O[P-]2(F)(O(C(F)F))(OC1(C)C)OC(C)(C)C(C)(C)O2,272
CC1(C)O[P-]2(O(C(F)F))(O(C(F)F))(OC1(C)C)OC(C)(C)C(C)(C)O2,273
N#CC1(C#N)O[P-](C(F)F)(C(F)F)(C(F)F)(C(F)F)OC1(C#N)C#N,274
N#CC1(C#N)O[P-](F)(C(F)F)(C(F)F)(C(F)F)OC1(C#N)C#N,275
N#CC1(C#N)O[P-](F)(F)(C(F)F)(C(F)F)OC1(C#N)C#N,276
N#CC1(C#N)O[P-](F)(F)(F)(C(F)F)OC1(C#N)C#N,277
N#CC1(C#N)O[P-](O(C(F)F))(O(C(F)F))(O(C(F)F))(O(C(F)F))OC1(C#N)C#N,278
N#CC1(C#N)O[P-](F)(O(C(F)F))(O(C(F)F))(O(C(F)F))OC1(C#N)C#N,279
N#CC1(C#N)O[P-](F)(F)(O(C(F)F))(O(C(F)F))OC1(C#N)C#N,280
N#CC1(C#N)O[P-](F)(F)(F)(O(C(F)F))OC1(C#N)C#N,281
N#CC1(C#N)O[P-]2(C(F)F)(C(F)F)(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2,282
N#CC1(C#N)O[P-]2(F)(C(F)F)(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2,283
N#CC1(C#N)O[P-]2(F)(O(C(F)F))(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2,284
N#CC1(C#N)O[P-]2(O(C(F)F))(O(C(F)F))(OC1(C#N)C#N)OC(C#N)(C#N)C(C#N)(C#N)O2,285
O=C1O[P-](C(F)F)(C(F)F)(C(F)F)(C(F)F)OC1=O,286
O=C1O[P-](F)(C(F)F)(C(F)F)(C(F)F)OC1=O,287
O=C1O[P-](F)(F)(C(F)F)(C(F)F)OC1=O,288
O=C1O[P-](F)(F)(F)(C(F)F)OC1=O,289
O=C1O[P-](O(C(F)F))(O(C(F)F))(O(C(F)F))(O(C(F)F))OC1=O,290
O=C1O[P-](F)(O(C(F)F))(O(C(F)F))(O(C(F)F))OC1=O,291
O=C1O[P-](F)(F)(O(C(F)F))(O(C(F)F))OC1=O,292
O=C1O[P-](F)(F)(F)(O(C(F)F))OC1=O,293
O=C1O[P-]2(C(F)F)(C(F)F)(OC1=O)OC(=O)C(=O)O2,294
O=C1O[P-]2(F)(C(F)F)(OC1=O)OC(=O)C(=O)O2,295
O=C1O[P-]2(F)(O(C(F)F))(OC1=O)OC(=O)C(=O)O2,296
O=C1O[P-]2(O(C(F)F))(O(C(F)F))(OC1=O)OC(=O)C(=O)O2,297
O=[P-](=O)(C(F)F)F,298
O=[P-](=O)(C(F)F)C(F)F,299
O=[P-](=O)(O(C(F)F))F,300
O=[P-](=O)(O(C(F)F))O(C(F)F),301
O=[P-](C(F)F)(F)(F)F,302
O=[P-](C(F)F)(C(F)F)(F)F,303
O=[P-](C(F)F)(C(F)F)(C(F)F)F,304
O=[P-](C(F)F)(C(F)F)(C(F)F)C(F)F,305
O=[P-](O(C(F)F))(F)(F)F,306
O=[P-](O(C(F)F))(O(C(F)F))(F)F,307
O=[P-](O(C(F)F))(O(C(F)F))(O(C(F)F))F,308
O=[P-](O(C(F)F))(O(C(F)F))(O(C(F)F))O(C(F)F),309
FC(F)[P-](C(F)F)(C(F)F)(C(F)F)(C(F)F)C(F)F,310
FC(F)[P-](F)(C(F)F)(C(F)F)(C(F)F)C(F)F,311
FC(F)[P-](F)(F)(C(F)F)(C(F)F)C(F)F,312
FC(F)[P-](F)(F)(F)(C(F)F)C(F)F,313
FC(F)[P-](F)(F)(F)(F)C(F)F,314
C(F)OC1(O(CF))O[P-](N)(N)(N)(N)OC1(O(CF))O(CF),315
C(F)OC1(O(CF))O[P-](F)(N)(N)(N)OC1(O(CF))O(CF),316
