smiles,ESPmin,ESPmax,dipole_moment,polarizability,idx
CC1(C)O[P-](F)(F)(F)(N(=O)=O)OC1(C)C,-139.10729,-24.49584,11.464165,144.563667,114
O=[P-](C(F)F)(C(F)F)(C(F)F)C(F)F,-146.77314,-44.96473,5.280324,95.251333,115
FCC1(CF)O[P-](=O)(=O)OC1(CF)CF,-147.28726,-4.99548,14.485406,120.312333,116
CC1(C)O[P-](F)(F)(CF)(CF)OC1(C)C,-128.78568,-34.94895,7.5812,162.021,117
CC1(C)O[P-](C#N)(C#N)(C#N)(C#N)OC1(C)C,-106.5371,-15.18955,15.448635,201.138,118
CC1(C)O[P-](F)(F)(F)(O(CF))OC1(C)C,-142.13111,-32.41732,8.246505,144.644,119
O=[P-](O(C(F)(F)F))(O(C(F)(F)F))(F)F,-131.08202,-54.27747,3.063749,44.5048,120
CC1(C)O[P-](F)(F)(F)(C(F)F)OC1(C)C,-139.77418,-28.98507,10.517242,143.497333,121
N#CC1(C#N)O[P-](F)(C)(C)(C)OC1(C#N)C#N,-115.01988,-31.56615,8.332405,189.906,122
N#CC1(C#N)O[P-](F)(F)(C)(C)OC1(C#N)C#N,-105.21383,-38.77533,5.64658,165.798,123
CC1(C)O[P-](F)(O(C))(O(C))(O(C))OC1(C)C,-156.46451,-39.69907,4.323146,191.432,124
O=P([O-])(OCC(F)(F)F)OCC(F)(F)F,-148.29546,-24.1765,7.301471,92.068333,125
COP(=O)([O-])OC(C(F)(F)F)C(F)(F)F,-134.78348,-43.76765,3.7686,91.759,126
N#CC1(C#N)O[P-](F)(F)(F)(C)OC1(C#N)C#N,-106.45098,-31.7181,3.276351,143.561,127
C(F)O[P-](F)(F)(O(CF))(O(CF))O(CF),-127.31999,-38.91513,3.329848,101.174,128
CC1(C)O[P-](F)(CF)(CF)(CF)OC1(C)C,-153.5863,-29.31492,11.989812,182.296667,129
O=P([O-])(F)OC(F)(C(F)(F)F)C(F)(F)F,-131.54905,-40.78844,10.315814,72.064,130
O=[P-](O(C(F)F))(O(C(F)F))(O(C(F)F))F,-139.85611,-22.79504,6.292753,82.446333,131
N#CC1(C#N)O[P-](F)(F)(F)(F)OC1(C#N)C#N,-98.24843,-21.23002,1.350108,123.724,132
CC1(C)O[P-](F)(F)(F)(O(C(F)F))OC1(C)C,-139.77416,-28.98512,10.517242,143.497333,133
