smiles,ESPmin,ESPmax,dipole_moment,polarizability,idx,Cluster,PCA1,PCA2,functionalgroupscorer,F_count,O_ether_count,NO2_count,CN_count,oxo_or_anion_count,H_count,scscore
FCC1(CF)O[P-](F)(F)(F)(O(C))OC1(CF)CF,-136.797,-32.83384,6.80583,136.414667,168,2,-0.3656233197925579,-0.4335794287741994,-2.5,7,3,0,0,0,11,2.6944285470046108
CC1(C)O[P-]2(F)(C#N)(OC1(C)C)OC(C)(C)C(C)(C)O2,-140.42645,-31.65721,11.441704,249.048,169,2,0.7566796707090955,-0.9150584010308436,-20.0,1,4,0,1,0,24,2.9990151422857454
FCC1(CF)O[P-](F)(F)(F)(CF)OC1(CF)CF,-135.9018,-26.10003,7.361278,133.592,170,2,-0.1781349311577714,-0.5233505599307312,-1.0,8,2,0,0,0,10,2.6211659190200898
CC1(C)O[P-](F)(O(CF))(O(CF))(O(CF))OC1(C)C,-153.18008,-27.68518,10.201396,185.626667,173,2,-0.0425406236109934,-1.3743951240557557,-11.5,4,5,0,0,0,18,2.7815316311634897
N#CC1(C#N)O[P-](O(C))(O(C))(O(C))(O(C))OC1(C#N)C#N,-125.03237,-32.22815,8.730568,213.36,176,2,0.6876042795197379,-0.1453759999992049,-5.0,0,6,0,4,0,12,3.276786751993746
CC1(C)O[P-]2(F)(CF)(OC1(C)C)OC(C)(C)C(C)(C)O2,-148.82847,-37.37332,5.803047,250.279667,177,2,0.4286579640836539,-1.164687746859102,-22.0,2,4,0,0,0,26,2.611144023552578
CC1(C)O[P-]2(C#N)(C#N)(OC1(C)C)OC(C)(C)C(C)(C)O2,-129.25309,-28.31945,13.798463,269.13,178,2,1.2914820314479212,-0.5552083800149347,-20.0,0,4,0,2,0,24,3.175874572757004
FCC1(CF)O[P-](F)(F)(O(C))(O(C))OC1(CF)CF,-146.33585,-25.03705,8.574796,158.394333,181,2,-0.1050885140081569,-1.0603186311276398,-6.0,6,4,0,0,0,14,2.7393299135387625
CC1(C)O[P-](F)(F)(O(C(F)F))(O(C(F)F))OC1(C)C,-140.66044,-26.6678,8.731448,162.187,182,2,0.0025242332864043,-0.793274970864129,-6.0,6,4,0,0,0,14,2.9737538129296475
CC1(C)O[P-](F)(C(F)F)(C(F)F)(C(F)F)OC1(C)C,-127.63974,-26.57926,7.072182,181.595,183,2,0.4726340591407846,-0.2865471926844941,-7.0,7,2,0,0,0,15,2.5524834373640566
